date,title,description,best_result_raw,best_result_display,score_type,barbell_lift,set_details,notes,rx_or_scaled,pr
12/11/2020,"10:01 - 30:00","5 ROUNDS:1 Minute CAP:MAX REPS:  Handstand Push UpsAMRAP in Remaining Time:  Banded Shoulder PressREST 30 Seconds1 Minute AMRAP:  Alternating Pistols*REST 30 Seconds",103,"103","Reps","","[{""reps"":65},{""reps"":40},{""reps"":103}]","Was able to go unbroken HSP/pistols: 15/20, 15/20, 15/20, 10/20, 10/23",RX,
12/11/2020,"30:01 - 50:00","3 ROUNDS:500m Row30 Burpees with MB (20/14)",981,"16:21","","","[{""secs"":21,""mins"":16}]","Dead",RX,
12/18/2020,"10:01 - 20:00","3 ROUNDS:1 Minute CAP:MAX REPS:  Handstand Push UpsAMRAP in Remaining Time:  Banded Shoulder PressREST 60 Seconds",41,"41","Reps","","[{""reps"":41},{""reps"":24}]","HSP: 21,10,10Band: 4,10,10",RX,
12/21/2020,"10:01 - 30:00","8 Minutes to Warm Up to Working Weight5 ROUNDS:1 Minute CAP:  3 Back Squats @ 85% 1 Minute AMRAP:  Full Kneeling DB Shoulder Press (50/35)",225,"225","Load","","[{""success"":true,""load"":225}]","Presses 8,8,8,8,6",RX,
12/21/2020,"30:01 - 50:00","4 ROUNDS:21 DB Power Cleans (50/35)15 DB Front Squat (50/35)9 Calorie Bike",560,"9:20","","","[{""secs"":20,""mins"":9}]","25lb db’s and 150m row instead of bike",SCALED,
12/23/2020,"30:01 - 50:00","10 Minute AMRAP:6 Box Jumps (24/20)12 Sandbag Deadlifts (100/70)",10.009,"10+9","Rounds + Reps","","[{""rnds"":10,""reps"":9}]","MOTM and a tiny bit more in the last 20 secs ",RX,
12/23/2020,"10:01 - 30:00","10:01 - 15:001 Snatch High Pull + 1 Squat Snatch + 1 High Hang Squat Snatch15:01 - 24:001 Snatch High Pull + 1 Squat Snatch*(increase weight as able and rest as needed)24:01 - 30:003 Snatch Extension with Pause at Top of Pull(increase weight as able and rest as needed)*Only scored element.",115,"115","Load","","[{""success"":true,""load"":115}]","Lol",RX,
12/28/2020,"10:01 - 30:00","10 Minutes to Warm Up to Working Weight4 ROUNDS:1 Minute CAP:  2 Back Squats @ 85% 1 Minute AMRAP:  Full Kneeling DB Shoulder Press (50/35)",255,"255","Load","","[{""success"":true,""load"":255}]","8,8,8,8 @50lb",RX,
12/28/2020,"30:01 - 50:00","12 Minute AAMRAP:3 Front Squat (160/105)6 Barbell Roll-Out",12,"12","Rounds + Reps","","[{""rnds"":12}]","Clean started degrading at the end, gotta work more on drilling it",RX,
01/08/2021,"30:01 - 50:00","8 ROUNDS:3 Toes to Bar6 Overhead Contra Reverse Lunges (right arm)3 Toes to Bar6 Overhead Contra Reverse Lunges (left arm)",517,"8:37","","","[{""secs"":37,""mins"":8}]","With 53lb kettlebell, ring t2b",RX,
01/13/2021,"25:01 - 50:00","14 Minute AMRAP:12 Sandbag Alternating Reverse Lunges (100/70)*6 Sandbag Squats (100/70)6 Toes to Bar*Sandbag behind neck",10,"10","Rounds + Reps","","[{""rnds"":10}]","70lb coz 100s were taken 😂",SCALED,
01/13/2021,"10:01 - 25:00","10 ROUNDS:  20 SEC AMRAP:  Chest to Bar Pull Ups20 SEC REST20 SEC AMRAP:  Alternating Pistols20 SEC REST",80,"80","Reps","","[{""reps"":60},{""reps"":80}]","Strict C2B 3+3 / round4 pistols each leg / round",RX,
01/27/2021,"10:01 - 25:00","Death by....Chest to Bar Pull UpsPistols*Cap at 15 Minutes",103,"103","Reps","","[{""reps"":101},{""reps"":103}]","Strict C2B until round 8 and then I died and just did this flapping contractions aka kipping.Pistols were fine.",RX,
01/27/2021,"25:01 - 50:00","18 Minute AMRAP:7 Beastmakers (50/35)5 Toes to Bar",7,"7","Rounds + Reps","","[{""rnds"":7}]","35# shoulders ded",SCALED,
02/08/2021,"30:01 - 50:00","5 ROUNDS:10 Sandbag Squats w/ Sandbag Over Left Shoulder (100/70)7 Toes to Bar10 Sandbag Squats w/ Sandbag Over Right Shoulder (100/70)7 Toes to Bar",750,"12:30","","","[{""secs"":30,""mins"":12}]","Ehh, finished 4.5 rounds only in 12min",RX,
02/08/2021,"10:01 - 25:00","Back Squat for load: #1: 2 reps",320,"320","Load","Back Squat","[{""success"":true,""load"":320}]","",RX,
02/08/2021,"25:01 - 30:00","4 ROUNDS:30 Second AMRAP:  Back Squat @ 65% of 2 RM30 Second AMRAP: Jumping Chest to Bar Pull Ups*",30,"30","Reps","","[{""reps"":30}]","",RX,
02/19/2021,"20:01 - 30:00","10 Minute AMRAP:1-2-3-4-5-6-7-8-9-10...Ring Muscle UpsFront Squat @ 70%of 3RM*",74,"74","Reps","","[{""reps"":74}]","Jumping RMU, 135 clean squat. Went up to 8 and then 2 more reps on rings",SCALED,
02/19/2021,"10:01 - 20:00","Front Squat for load: #1: 3 reps",225,"225","Load","Front Squat","[{""success"":true,""load"":225}]","Belted",RX,
02/24/2021,"10:01 - 22:00","Open WOD 14.2Every 3 minutes, complete 2 rounds of:• 10 overhead squats• 10 chest-to-bar pull-upsIncrease the number of reps for each movement by 2 (10, 12, 14, etc) every 3 minute interval until you can not complete the rounds. Score is total number of reps.",115,"115","Reps","","[{""reps"":115}]","Strict C2B10x4 first round12,12,12,11 second 14,14 third",RX,PR
02/24/2021,"25:00 - 50:00","5 ROUNDS:350m Row16 Alternating Pistols",742,"12:22","","","[{""secs"":22,""mins"":12}]","Legs ded",RX,
03/03/2021,"10:01 - 25:00","Complete as many rounds and reps as possible in 4 minutes of:15 Thruster (100/65)15 Chest to bar Pull-upsIf 90 reps (3 rounds) are completed in under 4 minutes, time extends to 8 minutes.If 180 reps (6 rounds) are completed in under 8 minutes, time extends to 12 minutes.If 270 reps (9 rounds) are completed in under 12 minutes, time extends to 16 minutes.Etc.",1.03,"1+30","Rounds + Reps","","[{""rnds"":1,""reps"":30}]","Worst wod ever? Yup 65# thrusters, jumping c2b",SCALED,PR
03/03/2021,"30:00 - 45:00","Complete as many reps as possible in 7 minutes of:• Burpees",74,"74","Reps","","[{""reps"":74}]","Death. 10/min",RX,
03/05/2021,"10:01 - 25:00","Front Squat for load: #1: 1 rep #2: 1 rep",245,"245","Load","Front Squat","[{""success"":true,""load"":245},{""success"":true,""load"":225}]","Weak sauce ",RX,
03/05/2021,"25:01 - 55:00","For time / reps:•10 dumbbell snatches (50/35)•15 burpee box jump-overs (24/20)•20 dumbbell snatches•15 burpee box jump-overs•30 dumbbell snatches•15 burpee box jump-overs•40 dumbbell snatches•15 burpee box jump-overs•50 dumbbell snatches•15 burpee box jump-oversTime cap: 20 minutes. Note total reps if the time cap is reached.",1320,"22:00","","","[{""secs"":0,""mins"":22}]","Finished only last 46 snatches at 20:00. Damn burpees is what killed me.",RX,PR
03/06/2021,"10:01 - 25:00","10 Minute EMOM:3 TNG Power Snatches (135/95)",0,"No","Checkbox","","[{""boolean"":0}]","",RX,
03/10/2021,"Drop Sets","3 ROUNDS:30 Second AMRAP:  Back Squats @ 70% of 5 RM60 Second REST",15,"15","Reps","","[{""reps"":15},{""reps"":15},{""reps"":15}]","",RX,
03/10/2021,"Back Squat 1x5","Back Squat for load: #1: 5 reps",225,"225","Load","Back Squat","[{""success"":true,""load"":225}]","Lightweight ",RX,
03/10/2021,"Hard Enough","9 Minute AMRAP:2 Cal Bike2 C2B Pull Ups2 Box Jumps (24/20)4 Cal Bike4 C2B Pull Ups4 Box Jumps (24/20)*each round add 2 reps",102,"102","Reps","","[{""reps"":102}]","Round of 10 done + 12 on cal bike",RX,
03/13/2021,"Open 21.1","For time:• 1 wall walk• 10 double-unders• 3 wall walks• 30 double-unders• 6 wall walks• 60 double-unders• 9 wall walks• 90 double-unders• 15 wall walks• 150 double-unders• 21 wall walks• 210 double-undersTime cap: 15 min.For full equipment details, categories, and scoring options visit: https://games.crossfit.com/workouts/open/2021",383,"383","Reps","","[{""reps"":383}]","Got 9 of the 21 wall walks. Realized that the trick is to properly estimate last 2 hand “steps” by the wall to avoid extra movements. Think about unracking and walking out squat. Broke DU’s into 30 and it helped keep HR manageable.",RX,PR
03/19/2021,"Front Squat & Weighted Pull Ups","16 Minute CAP:Front Squat: 3 RMWeighted Pull Up: 3RM",245,"245","Load","Front Squat","[{""success"":true,""load"":245}]","+60lb pull-up for 3",RX,
03/20/2021,"Open 21.2","For time / reps:•10 dumbbell snatches•15 burpee box jump-overs•20 dumbbell snatches•15 burpee box jump-overs•30 dumbbell snatches•15 burpee box jump-overs•40 dumbbell snatches•15 burpee box jump-overs•50 dumbbell snatches•15 burpee box jump-oversMen use 50-lb. dumbbell and 24-in. boxWomen use 35-lb. dumbbell and 20-in. boxTime cap: 20 minutes.For full equipment details, categories, and scoring options visit: https://games.crossfit.com/workouts/open/2021/2",225,"225","Reps","","[{""reps"":225}]","19:40 lol, well at least some brogress since I finished this 2 weeks ago with 15 burpees and 10 snatches remaining ",RX,PR
